Zone,Année,Population,Exportations (t),Importations (t),Nourriture (t),Production (t),Country Code,Stabilité politique,PIB,Infrastructures,Douanes (%),dist
Afghanistan,2017,36296113.0,2000.0,29000.0,55000.0,28000.0,AFG,-2.7949755191803,525.469770891619,1.835473,,5590.381
Afrique du Sud,2017,57009756.0,63000.0,514000.0,2035000.0,1667000.0,ZAF,-0.284803628921509,6618.33508255701,3.776261,6.67,9353.552
Albanie,2017,2884169.0,0.0,38000.0,47000.0,13000.0,ALB,0.373770743608475,4614.0479692596,1.980952,1.22,1603.534
Algérie,2017,41389189.0,0.0,2000.0,264000.0,275000.0,DZA,-0.919614315032959,4554.66753957828,2.577318,12.32,1340.39
Allemagne,2017,82658409.0,646000.0,842000.0,1609000.0,1514000.0,DEU,0.574381291866302,45526.5999576533,4.439356,2.48,439.8984
Angola,2017,29816766.0,0.0,277000.0,315000.0,42000.0,AGO,-0.387895494699478,2437.25971190821,2.133789,,6510.322
Antigua-et-Barbuda,2017,95426.0,0.0,7000.0,5000.0,0.0,ATG,0.73206090927124,16965.7288273816,,11.64,6708.77
Arabie saoudite,2017,33101178.999999996,10000.0,722000.0,1435000.0,616000.0,SAU,-0.649625718593597,23929.2907135982,3.235413,4.54,4694.5
Argentine,2017,43937140.0,207000.0,8000.0,1856000.0,2161000.0,ARG,0.162542164325714,14532.5009308511,2.856412,12.73,11072.25
Arménie,2017,2944791.0,0.0,35000.0,47000.0,11000.0,ARM,-0.626211166381836,3869.05373867752,2.216773,4.6,3434.071
Australie,2017,24584620.0,42000.0,16000.0,1171000.0,1269000.0,AUS,0.87606406211853,53901.7145392154,3.816468,2.23,16975.46
Autriche,2017,8819901.0,78000.0,110000.0,160000.0,148000.0,AUT,1.02962481975555,47163.7425775142,4.07841,2.48,1035.144
Azerbaïdjan,2017,9845320.0,0.0,27000.0,129000.0,104000.0,AZE,-0.751901030540466,4147.1981423222,,,3817.547
Bahamas,2017,381755.0,14000.0,24000.0,16000.0,6000.0,BHS,0.976762533187866,31875.4881749619,2.721296,,7209.45
Bangladesh,2017,159685424.0,9000.0,0.0,240000.0,249000.0,BGD,-1.25362718105316,1811.08221668646,2.48,,7916.79
Barbade,2017,286232.0,0.0,2000.0,13000.0,15000.0,BRB,0.952525317668915,19692.7606711615,,,6882.34
Belgique,2017,11419748.0,656000.0,338000.0,144000.0,463000.0,BEL,0.41760727763176,44035.3239358548,4.053557,2.48,262.3845
Belize,2017,375769.0,0.0,0.0,10000.0,20000.0,BLZ,0.0304041262716055,6072.58267640581,,11.09,8664.439
Bolivie (État plurinational de),2017,11192855.0,1000.0,1000.0,403000.0,533000.0,BOL,-0.280110895633698,3306.30301224425,2.109668,10.33,10038.45
Bosnie-Herzégovine,2017,3351525.0,8000.0,10000.0,56000.0,61000.0,BIH,-0.351469874382019,5345.01985489192,2.607002,2.88,1352.463
Botswana,2017,2205080.0,0.0,3000.0,7000.0,5000.0,BWA,1.00929582118988,7104.96401088027,2.95539,4.07,8522.764
Brésil,2017,207833823.0,4223000.0,3000.0,9982000.0,14201000.0,BRA,-0.479947566986084,10080.5092819305,3.110258,13.41,9408.406
Bulgarie,2017,7102444.0,45000.0,108000.0,157000.0,107000.0,BGR,0.321379661560059,8696.68930427924,2.351053,2.48,1760.707
Burkina Faso,2017,19193234.0,2000.0,0.0,44000.0,46000.0,BFA,-0.927885830402374,709.091535894695,2.668512,12.41,4082.87
Bélarus,2017,9450231.0,152000.0,21000.0,264000.0,463000.0,BLR,-0.0572087056934834,5785.54491935194,2.099684,4.92,1823.709
