Id_vente,Id_bien,Date,Valeur
25000,24498,2020-01-10 00:00:00,85000
25001,24499,2020-01-14 00:00:00,125142
25002,24500,2020-01-30 00:00:00,400000
25003,24501,2020-01-30 00:00:00,88650
25004,24502,2020-02-14 00:00:00,141550
25005,24503,2020-02-25 00:00:00,156800
25006,24504,2020-02-28 00:00:00,272070
25007,24505,2020-03-03 00:00:00,253000
25008,24506,2020-03-05 00:00:00,249000
25009,24507,2020-03-09 00:00:00,515000
25010,24508,2020-03-10 00:00:00,133000
25011,24509,2020-03-10 00:00:00,230000
25012,24510,2020-03-17 00:00:00,207000
25013,24511,2020-03-17 00:00:00,278000
25014,24512,2020-03-24 00:00:00,226600
25015,24513,2020-05-07 00:00:00,200000
25016,24514,2020-05-20 00:00:00,130000
25017,24515,2020-05-27 00:00:00,66500
25018,24516,2020-05-28 00:00:00,260000
25019,24517,2020-05-28 00:00:00,148800
25020,24518,2020-05-29 00:00:00,76500
25021,24519,2020-06-01 00:00:00,241000
25022,24520,2020-06-05 00:00:00,155500
25023,24521,2020-06-09 00:00:00,205000
25024,24522,2020-06-09 00:00:00,243000
25025,24523,2020-06-10 00:00:00,151000
25026,24524,2020-06-29 00:00:00,221900
25027,24525,2020-01-13 00:00:00,368000
25028,24526,2020-01-22 00:00:00,131250
25029,24527,2020-01-30 00:00:00,112500
25030,24528,2020-01-31 00:00:00,142000
25031,24529,2020-01-31 00:00:00,76500
25032,24530,2020-01-31 00:00:00,93300
25033,24531,2020-02-10 00:00:00,159280
25034,24532,2020-02-13 00:00:00,143000
25035,24533,2020-02-14 00:00:00,137000
25036,24534,2020-02-21 00:00:00,199670
25037,24535,2020-03-04 00:00:00,170000
25038,24536,2020-03-05 00:00:00,224000
25039,24537,2020-03-11 00:00:00,105000
25040,24538,2020-03-13 00:00:00,128800
25041,24539,2020-03-13 00:00:00,215000
25042,24540,2020-03-16 00:00:00,116320
25043,24541,2020-03-20 00:00:00,153470
25044,24542,2020-04-20 00:00:00,123015
25045,24543,2020-04-22 00:00:00,129280
25046,24544,2020-04-24 00:00:00,208600
25047,24545,2020-04-27 00:00:00,146000
25048,24546,2020-05-12 00:00:00,145000
25049,24547,2020-05-13 00:00:00,83500
25050,24548,2020-05-20 00:00:00,65000
25051,24549,2020-05-26 00:00:00,124000
25052,24550,2020-05-29 00:00:00,120000
25053,24551,2020-06-02 00:00:00,110000
25054,24552,2020-06-03 00:00:00,351550
25055,24553,2020-06-03 00:00:00,104870
25056,24554,2020-06-05 00:00:00,200650
25057,24555,2020-06-08 00:00:00,108000
25058,24556,2020-06-10 00:00:00,145990
25059,24530,2020-06-22 00:00:00,89390
25060,24557,2020-06-24 00:00:00,158000
25061,24558,2020-06-30 00:00:00,200000
25062,24559,2020-06-30 00:00:00,180100
25063,24549,2020-06-30 00:00:00,126850
25064,24560,2020-03-02 00:00:00,40000
25065,24561,2020-05-27 00:00:00,38000
25066,24562,2020-05-28 00:00:00,73500
25067,24563,2020-06-08 00:00:00,14000
25068,24564,2020-04-30 00:00:00,105000
25069,24565,2020-03-11 00:00:00,100000
25070,24566,2020-06-19 00:00:00,5000
25071,24567,2020-05-14 00:00:00,60000
25072,24568,2020-03-13 00:00:00,195000
25073,24569,2020-04-24 00:00:00,165000
25074,24570,2020-01-13 00:00:00,270000
25075,24571,2020-01-13 00:00:00,176000
25076,24572,2020-01-13 00:00:00,80000
25077,24573,2020-01-20 00:00:00,91000
25078,24574,2020-01-23 00:00:00,63000
25079,24575,2020-01-27 00:00:00,119000
25080,24576,2020-01-31 00:00:00,272000
25081,24577,2020-02-12 00:00:00,139000
25082,24578,2020-02-13 00:00:00,175000
25083,24579,2020-02-17 00:00:00,174500
25084,24580,2020-02-20 00:00:00,126500
25085,24581,2020-02-27 00:00:00,97100
25086,24582,2020-03-02 00:00:00,264000
25087,24583,2020-03-09 00:00:00,63500
25088,24584,2020-03-17 00:00:00,55000
25089,24585,2020-03-30 00:00:00,195000
25090,24586,2020-04-14 00:00:00,179770
25091,24587,2020-04-14 00:00:00,83000
25092,24588,2020-05-26 00:00:00,54000
25093,24589,2020-06-08 00:00:00,45000
25094,24590,2020-06-11 00:00:00,31500
25095,24591,2020-06-16 00:00:00,900000
25096,24592,2020-06-25 00:00:00,158000
25097,24593,2020-06-30 00:00:00,304300
25098,24594,2020-02-05 00:00:00,176000
25099,24595,2020-02-11 00:00:00,183300
25100,24596,2020-02-12 00:00:00,140000
25101,24597,2020-05-19 00:00:00,138700
25102,24598,2020-01-13 00:00:00,350000
25103,24599,2020-01-13 00:00:00,155000
25104,24600,2020-01-20 00:00:00,212000
25105,24601,2020-02-18 00:00:00,162000
25106,24602,2020-04-24 00:00:00,124000
25107,24603,2020-04-24 00:00:00,349000
25108,24604,2020-04-30 00:00:00,205000
25109,24605,2020-05-04 00:00:00,110000
25110,24606,2020-05-13 00:00:00,150860
25111,24607,2020-05-18 00:00:00,190000
25112,24608,2020-05-26 00:00:00,142380
25113,24609,2020-05-29 00:00:00,160000
25114,24610,2020-06-05 00:00:00,203000
25115,24611,2020-06-09 00:00:00,180000
25116,24612,2020-06-11 00:00:00,199000
25117,24613,2020-06-18 00:00:00,145000
25118,24614,2020-06-30 00:00:00,140000
25119,24615,2020-03-05 00:00:00,119000
25120,24616,2020-04-06 00:00:00,158500
25121,24617,2020-05-28 00:00:00,100000
25122,24618,2020-05-29 00:00:00,153000
25123,24619,2020-01-11 00:00:00,135000
25124,24620,2020-03-06 00:00:00,39000
25125,24621,2020-03-06 00:00:00,633000
25126,24622,2020-01-28 00:00:00,120000
25127,24623,2020-02-13 00:00:00,55000
