Id_bien,id_codedep_codecommune,No_voie,BTQ,Type_voie,Voie,Total_piece,Surface_carrez,Surface_local,Type_local,Id_region
1,001103,347,,RUE,DU CHATEAU,3,48.22,48,Appartement,1
2,001103,17,,LOT,LES JARDINS DE CHEVRY,1,30.23,30,Appartement,1
3,001103,77,,RUE,LA PIECE,5,123.16,118,Maison,1
4,001103,711,,RUE,DES MORAINES,2,42.92,41,Appartement,1
5,001004,59,,RUE,ALEXANDRE BERARD,6,164.87,143,Appartement,2
6,001004,29,,RUE,REINE CLOTILDE,2,54.84,62,Appartement,2
7,001004,54,,RUE,MARCEL DEMIA,3,68.23,68,Appartement,2
8,001004,25,,RUE,DE LA COMMUNE 1871,3,70.1,68,Maison,2
9,001004,60,,ALL,DES FRERES CAUDRON,2,50.64,51,Appartement,2
10,001004,13,,RUE,JEAN MONNET,2,54.65,55,Appartement,2
11,001004,72,,RUE,DE LA REPUBLIQUE,2,35.59,33,Appartement,2
12,001004,2,,RUE,DE LA BATISSE,3,81.15,81,Appartement,2
13,001004,36,,RUE,DES APOTRES,2,74.72,79,Appartement,2
14,001004,54,B,RUE,ARISTIDE BRIAND,3,70.45,75,Appartement,2
15,001004,78,,AV,DU GEN SARRAIL,5,92.47,92,Appartement,2
16,006004,4,,BD,EDOUARD BAUDOIN,1,39.11,40,Appartement,3
17,006004,15,,AV,NIQUET,2,37.66,41,Appartement,3
18,006004,10,,RUE,SAINT ANTOINE,2,22.47,23,Appartement,3
19,006004,29,,BD,DUGOMMIER,2,51.24,34,Appartement,3
20,006004,18,,AV,DE LA ROSTAGNE,2,54.26,50,Appartement,3
21,006004,18,B,AV,PASTEUR,3,51.17,46,Appartement,3
22,006004,175,,CHE,DE BEAUVERT,3,67.71,68,Appartement,3
23,006004,19,,AV,EDMOND D ESCLEVIN,3,85.83,86,Appartement,3
24,006004,19,,RUE,SAINT HONORAT,3,88.65,90,Appartement,3
25,006004,9001,,,LES SEMBOULES,4,87.39,89,Appartement,3
26,006004,60,,BD,DU VAL CLARET,2,47.08,47,Appartement,3
27,006004,40,,AV,DE CANNES,2,51.49,53,Appartement,3
28,006004,1140,,RTE,DE SAINT JEAN,3,73.59,75,Appartement,3
29,006004,344,,CHE,DU VALBOSQUET,6,106.63,119,Maison,3
30,006004,19,,AV,EDMOND D ESCLEVIN,2,43.68,43,Appartement,3
31,006004,587,,AV,PREMIERE AVENUE,3,64.05,64,Appartement,3
32,006004,11,,AV,DE CANNES,3,77.78,61,Maison,3
33,006004,15,,BD,ALBERT 1ER,3,66.01,65,Appartement,3
34,006004,9,,AV,LEMERAY,4,97.04,112,Appartement,3
35,006004,22,,AV,DE L ORANGERIE,1,23.15,23,Appartement,3
36,006004,940,,CHE,DE RABIAC ESTAGNOL,1,28.08,24,Appartement,3
37,006004,10,,RUE,SAINT ANTOINE,2,39.33,41,Appartement,3
38,006004,84,,RUE,DU BON AIR,3,59.2,59,Appartement,3
39,006004,741,,CHE,MOYENNES BREGUIERES,4,85.35,85,Appartement,3
40,006004,4,,AV,DE LA ROSTAGNE,1,31.4,31,Appartement,3
41,006004,571,,CHE,DES COMBES,2,53.23,52,Appartement,3
42,006004,1,,AV,FREDERIC MISTRAL,3,42.42,43,Appartement,3
43,006004,51,,BD,MARECHAL FOCH,1,34.1,35,Appartement,3
44,006004,16,,AV,DE LA ROSTAGNE,2,32.15,33,Appartement,3
45,006004,1039,,CHE,DES COMBES,3,72.8,72,Appartement,3
46,006004,9,A,AV,DE NICE,4,68.09,67,Appartement,3
47,006004,40,,AV,DE CANNES,3,72.22,73,Appartement,3
48,006004,201,,AV,MARTYRS DE LA RESISTANCE,2,55.92,57,Appartement,3
49,006004,344,,CHE,DU VALBOSQUET,5,96.45,100,Maison,3
