Id_bien,id_codedep_codecommune,No_voie,BTQ,Type_voie,Voie,Total_piece,Surface_carrez,Surface_local,Type_local,Id_region
25000,083137,2,,RUE,MASSENA,2,56.15,55,Appartement,2597
25001,083137,192,,BD,MARECHAL JOFFRE,5,94.44,98,Appartement,2597
25002,083137,1628,,AV,JOSEPH GASQUET,4,66.82,67,Appartement,2597
25003,083137,284,,AV,GENERAL GOURAUD,2,41.15,45,Appartement,2597
25004,083137,175,,BD,GRIGNAN,4,66.79,64,Appartement,2597
25005,083137,9,,RUE,D ANTRECHAUS,1,23.4,22,Appartement,2597
25006,083137,178,,BD,DE PARIS,3,65.05,65,Appartement,2597
25007,083137,162,,RUE,LANGERON,1,27.09,28,Appartement,2597
25008,083137,17,,AV,EMILE BARLA,2,37.8,37,Appartement,2597
25009,083137,18,,AV,COLBERT,1,75.5,76,Appartement,2597
25010,083137,30,,IMP,GEORGES MOINEAUX,2,30.03,25,Appartement,2597
25011,083137,76,,RUE,VICTOR GELU PROLONGEE,4,78.15,77,Appartement,2597
25012,083137,226,,RUE,GENERAL MICHEL AUDEOUD,3,54.35,53,Appartement,2597
25013,083137,153,,RUE,CHARLES LEJEUNE,3,67.15,63,Appartement,2597
25014,083137,24,,IMP,REGIMBAUD,3,67.5,70,Appartement,2597
25015,083137,8,,RUE,AUGUSTIN DAUMAS,2,31.6,32,Appartement,2597
25016,083137,22,,RUE,MAGNAQUE,4,63.08,64,Appartement,2597
25017,083137,23,,BD,DE STRASBOURG,5,167.45,175,Appartement,2597
25018,083137,1,,RUE,LABORDE,1,22.04,18,Appartement,2597
25019,083137,9,,BD,JACQUARD,3,60.3,58,Appartement,2597
25020,083137,138,,AV,GENERAL GOURAUD,4,73.99,68,Appartement,2597
25021,083137,20,,AV,GAI COTEAU,4,68.48,66,Maison,2597
25022,083137,19,B,RUE,VINCENT COURDOUAN,1,40.05,45,Appartement,2597
25023,083137,3,,RUE,MAL DES LOGIS LORENZI,4,66.57,75,Appartement,2597
25024,083137,35,,AV,BENOIT MALON,2,37.1,36,Appartement,2597
25025,083137,627,,BD,JEAN BAPTISTE ABEL,4,85.49,85,Appartement,2597
25026,083137,21,,AV,INFANTERIE DE MARINE,3,60.47,60,Appartement,2597
25027,083137,9003,,AV,NOBEL,2,41.09,42,Appartement,2597
25028,083137,110,,RUE,MAISSIN,2,45.85,39,Appartement,2597
25029,083137,18,,RUE,REVEL,6,198.83,196,Appartement,2597
25030,083137,422,,AV,DU MARECHAL FOCH,2,67.9,65,Appartement,2597
25031,083137,576,,AV,PIERRE RENAUDEL,6,105.99,110,Maison,2597
25032,083137,57,,IMP,GRANDVAL,3,47,49,Appartement,2597
25033,083137,197,,RUE,DANIEL BERTHELOT,4,67.19,68,Appartement,2597
25034,083137,627,,BD,JEAN BAPTISTE ABEL,2,56.72,57,Appartement,2597
25035,083137,36,,RUE,JULY,3,46,53,Appartement,2597
25036,083137,1,,RUE,CASTILLON,3,45.88,48,Appartement,2597
25037,083137,205,,RUE,PDT ROBERT SCHUMAN,3,68.69,63,Appartement,2597
25038,083137,203,,BD,ROBESPIERRE,5,94.83,90,Appartement,2597
25039,083137,5,,RUE,PICOT,2,52,50,Appartement,2597
25040,083137,19,,RUE,CHARLES PONCY,2,38.25,37,Appartement,2597
25041,083137,560,,AV,DU MARECHAL FOCH,5,92.56,100,Appartement,2597
25042,083137,13,,BD,BAUCHIERE,3,37.15,90,Appartement,2597
25043,083137,61,,CHE,DE PLAISANCE,4,111.24,88,Appartement,2597
25044,083137,93,B,RUE,GENERAL MAURICE DAVID,5,60.25,77,Maison,2597
25045,083137,35,,RUE,SUFFREN,9,104.04,204,Appartement,2597
25046,083137,84,,RUE,MAISSIN,3,46.66,45,Appartement,2597
25047,083137,1,,PL,SADI CARNOT,3,50.5,52,Appartement,2597
25048,083137,267,,BD,DOCTEUR CHARLES BARNIER,6,130.62,132,Appartement,2597
25049,083137,23,,RUE,DU DOCTEUR BARROIS,2,19.68,20,Appartement,2597
25050,083137,23,,RUE,CEZANNE,4,95.55,110,Appartement,2597
25051,083137,8,,RUE,COURBET,3,67.01,68,Appartement,2597
25052,083137,3,,CHE,DE RIGOUMEL,5,75.35,72,Appartement,2597
25053,083137,41,,RUE,PIERRE BORIES,1,19.98,20,Appartement,2597
25054,083137,9001,,,LA TOUR D'IVOIRE,4,104.56,104,Appartement,2597
25055,083137,36,,RUE,PAUL ARENE,1,33.65,40,Appartement,2597
25056,083137,10,,RUE,GEORGE SAND,2,47.35,44,Appartement,2597
25057,083137,3,,RUE,PAULIN GUERIN,5,123.2,123,Appartement,2597
25058,083137,809,,AV,JOSEPH LOUIS ORTOLAN,4,123.6,121,Appartement,2597
25059,083137,19,,RUE,ALEXANDRE VOLTA,4,61,60,Appartement,2597
25060,083137,9003,,RUE,LAMARTINE,3,57.04,57,Appartement,2597
25061,083137,476,,AV,ARISTIDE BRIAND,1,35.7,37,Appartement,2597
25062,083137,200,,CHE,DE PLAISANCE,3,74.19,74,Appartement,2597
25063,083137,257,,RUE,PDT ROBERT SCHUMAN,4,78.41,73,Appartement,2597
25064,083137,10,,RUE,LAMARTINE,1,23.11,24,Appartement,2597
25065,083137,677,,RUE,DAVID,3,67.66,60,Appartement,2597
25066,083137,17,,RUE,D ALGER,2,45.37,51,Appartement,2597
25067,083137,5,,BD,EUGENE PELLETAN,3,57.44,54,Appartement,2597
25068,083137,15,,RUE,DE POMET,1,20.21,20,Appartement,2597
25069,083137,527,,AV,GENERAL GOURAUD,2,38.54,39,Appartement,2597
25070,083137,14,,RUE,REVEREND PERE DE FOUCAULD,2,44.77,42,Appartement,2597
25071,083137,57,,RUE,DAILLON,2,72.72,79,Appartement,2597
25072,083137,23,,RUE,DU DOCTEUR BARROIS,4,43,41,Appartement,2597
25073,083137,12,,RUE,BERTHIER,1,33.59,35,Appartement,2597
25074,083137,12,,RUE,BERTHIER,3,34.92,50,Appartement,2597
25075,083137,11,,RUE,ANATOLE FRANCE,1,19.59,20,Appartement,2597
25076,083137,108,,RUE,COULMIER,4,78.91,77,Appartement,2597
25077,083137,269,,RUE,EDOUARD HERRIOT,2,26.8,27,Appartement,2597
25078,083137,52,,BD,DU DOCTEUR CUNEO,1,17.98,19,Appartement,2597
25079,083137,69,,CHE,DE LA PINEDE,3,89.85,80,Maison,2597
